'sample #','MLII','V1'
0,874,900
1,874,900
2,874,900
3,874,900
4,874,900
5,874,900
6,874,900
7,872,900
8,870,898
9,869,901
10,869,900
11,867,903
12,868,905
13,872,905
14,870,906
15,870,907
16,870,905
17,868,901
18,868,901
19,866,900
20,866,899
21,864,897
22,865,899
23,865,901
24,867,902
25,867,902
26,871,905
27,868,900
28,865,898
29,866,899
30,864,898
31,860,896
32,862,895
33,861,897
34,863,897
35,865,898
36,864,900
37,866,902
38,867,903
39,869,904
40,870,904
41,865,901
42,863,899
43,866,896
44,864,900
45,865,896
46,867,900
47,865,903
48,868,902
49,873,904
50,874,903
51,875,902
52,876,900
53,878,900
54,881,897
55,882,899
56,882,900
57,880,901
58,881,899
59,880,902
60,886,901
61,887,904
62,888,903
63,889,902
64,888,899
65,892,899
66,890,897
67,890,897
68,889,893
69,886,895
70,882,894
71,882,897
72,880,899
73,876,896
74,877,899
75,874,897
76,874,895
77,875,890
78,874,889
79,872,890
80,868,888
81,864,887
82,860,890
83,858,894
84,859,899
85,858,903
86,858,904
87,856,906
88,855,906
89,855,903
90,851,901
91,851,898
92,852,894
93,850,897
94,851,897
95,850,900
96,854,900
97,852,902
98,853,904
99,855,901
100,855,902
101,855,902
102,852,899
103,853,896
104,851,897
105,851,897
106,852,898
107,852,899
108,852,902
109,853,906
110,855,905
111,855,906
112,858,906
113,857,904
114,857,903
115,858,902
116,864,902
117,872,900
118,886,902
119,904,903
120,929,899
121,955,895
122,980,891
123,999,886
124,1015,880
125,1015,876
126,995,870
127,966,866
128,935,862
129,896,861
130,855,864
131,818,877
132,794,894
133,786,915
134,789,939
135,793,955
136,802,961
137,807,954
138,812,940
139,816,923
140,819,907
141,819,903
142,824,900
143,829,901
144,832,900
145,833,901
146,835,904
147,836,901
148,835,901
149,832,900
150,832,898
151,831,897
152,828,896
153,828,896
154,830,899
155,830,900
156,830,900
157,833,899
158,834,901
159,833,901
160,835,900
161,833,897
162,831,895
163,831,893
164,830,893
165,829,893
166,829,897
167,828,896
168,831,898
169,831,900
170,829,899
171,828,899
172,829,897
173,829,896
174,828,894
175,826,893
176,825,894
177,824,892
178,821,892
179,822,896
180,822,895
181,822,896
182,826,898
183,826,896
184,826,896
185,822,893
186,820,891
187,818,891
188,817,890
189,815,890
190,816,890
191,816,892
192,816,891
193,817,892
194,818,893
195,819,893
196,816,892
197,816,889
198,814,887
199,812,888
200,811,887
201,808,887
202,810,887
203,810,889
204,810,891
205,813,893
206,812,893
207,812,894
208,812,894
209,812,893
210,810,890
211,810,887
212,809,887
213,811,888
214,811,888
215,811,889
216,813,889
217,813,892
218,815,891
219,816,888
220,818,888
221,821,888
222,819,888
223,822,887
224,820,883
225,823,883
226,824,883
227,831,888
228,835,887
229,841,889
230,845,887
231,849,887
232,853,886
233,856,884
234,859,883
235,863,883
236,864,881
237,867,882
238,869,884
239,873,886
240,876,889
241,880,889
242,882,889
243,884,893
244,886,891
245,885,890
246,883,887
247,882,887
248,880,887
249,883,890
250,881,892
251,882,893
252,882,898
253,881,899
254,881,899
255,882,898
256,880,899
257,881,898
258,878,897
259,876,894
260,872,891
261,875,892
262,874,892
263,871,895
264,874,897
265,875,897
266,875,898
267,875,898
268,873,896
269,871,894
270,869,896
271,870,894
272,866,893
273,866,892
274,865,897
275,867,895
276,867,898
277,866,897
278,866,900
279,866,899
280,870,897
281,866,896
282,865,895
283,864,893
